amfi_code,sharpe_ratio
148567,1.4482911703262598
120843,1.3067439695428409
148569,1.2349300257743294
119551,1.2082665673727175
120505,1.1801011976606492
149323,1.1321218524747243
100033,1.093698743534631
118632,1.0816591793457042
101206,1.0272133278753695
120504,1.0265242847993001
119094,0.9982309868636413
119552,0.9532794968660104
149324,0.9497958246616031
119598,0.9453082575156095
148568,0.9262873467360144
102885,0.8170993373494367
120503,0.7979728586052847
125497,0.7757902498211205
118635,0.664856998549062
120506,0.6488787755249532
118633,0.6452074382933215
102887,0.6195175900829828
120507,0.4957233929533123
120841,0.4942725378672349
149322,0.46403744922047774
118634,0.44843400890899127
125498,0.30061192104254786
101207,0.16266076928646772
119093,0.12961449795669328
120842,0.07599984804658923
119092,0.03078485095458594
119599,-0.05718662582817995
119095,-0.0759735711747892
120844,-0.08874729621557288
100016,-0.20151706755966936
102886,-0.20583160785470309
119120,-0.22657538662791576
118636,-0.35662950751436784
100025,-0.5670947928476846
101208,-0.8155673679088263
