amfi_code,tracking_error
100016,0.19928360293890288
100025,0.1345351441558559
100033,0.22869942052083106
101206,0.1927064051369653
101207,0.2921174251929163
101208,0.1289568921773665
102885,0.18368034296960942
102886,0.22560814215136638
102887,0.20221623215661824
118632,0.19211519250390102
118633,0.19344939246000745
118634,0.2772863739829558
118635,0.18307639338664936
118636,0.1347582682889032
119092,0.18908165842556626
119093,0.1878998377218692
119094,0.23765197701108368
119095,0.2857813336985091
119120,0.13564645267040476
119551,0.1911825685163082
119552,0.19212721030300678
119598,0.2838814541332667
119599,0.2771351379626376
120503,0.19294776031543664
120504,0.1915870037972257
120505,0.2319675096004632
120506,0.19600483949857456
120507,0.1290435755950335
120841,0.18311878418576322
120842,0.21916937594238353
120843,0.20642496841144062
120844,0.12904556781048557
125497,0.19107208897596129
125498,0.2235920824296721
148567,0.1896636779215802
148568,0.20321345225145676
148569,0.21736518889258571
149322,0.19326406331048715
149323,0.21952116319885415
149324,0.27917030841826745
